task_id,input_size,op_type,actual_runtime_ms
0,185,CPU,68
1,112,Mixed,272
2,81,CPU,42
3,139,CPU,64
4,124,Mixed,258
5,102,CPU,43
6,57,CPU,42
7,87,Mixed,242
8,168,Mixed,214
9,151,CPU,164
10,184,IO,286
11,65,Mixed,249
12,109,IO,283
13,81,IO,215
14,66,IO,210
15,68,Mixed,212
16,109,IO,219
17,160,CPU,76
18,130,Mixed,128
19,138,IO,176
20,150,Mixed,223
21,181,CPU,13
22,198,Mixed,98
23,140,IO,27
24,197,Mixed,25
25,174,Mixed,19
26,144,IO,45
27,151,Mixed,73
28,188,IO,62
29,144,CPU,6
30,65,Mixed,31
31,63,CPU,1
32,73,Mixed,63
33,140,CPU,5
34,106,IO,52
35,95,Mixed,50
36,104,CPU,3
37,57,CPU,1
38,62,IO,34
39,189,Mixed,42
40,100,Mixed,49
41,82,IO,45
42,129,IO,33
43,118,IO,29
44,160,IO,29
45,102,IO,28
46,88,Mixed,20
47,122,Mixed,18
48,114,IO,13
49,85,IO,12
50,164,IO,16
51,142,CPU,6
52,136,IO,13
53,86,CPU,1
54,127,IO,28
55,160,IO,28
56,103,Mixed,13
57,85,CPU,1
58,191,Mixed,29
59,105,IO,27
60,126,IO,28
61,185,CPU,18
62,52,CPU,0
63,118,IO,30
64,81,IO,29
65,143,IO,34
66,113,CPU,3
67,96,CPU,2
68,74,CPU,1
69,167,IO,30
70,108,Mixed,26
71,176,IO,29
72,53,CPU,0
73,67,IO,25
74,80,IO,26
75,126,IO,25
76,137,Mixed,16
77,183,CPU,27
78,99,IO,16
79,111,CPU,3
80,116,Mixed,19
81,134,Mixed,14
82,73,Mixed,13
83,99,IO,20
84,93,CPU,1
85,51,Mixed,11
86,130,Mixed,13
87,171,CPU,11
88,164,CPU,10
89,164,IO,29
90,105,CPU,2
91,143,Mixed,13
92,192,CPU,15
93,98,Mixed,15
94,93,CPU,1
95,148,CPU,7
96,55,Mixed,9
97,138,IO,43
98,81,IO,18
99,95,CPU,2
100,153,CPU,8
101,141,Mixed,16
102,193,IO,40
103,164,Mixed,18
104,184,CPU,15
105,144,IO,23
106,52,Mixed,14
107,101,Mixed,14
108,67,Mixed,12
109,76,Mixed,13
110,74,CPU,1
111,184,IO,27
112,167,CPU,12
113,91,CPU,2
114,61,Mixed,8
115,65,CPU,1
116,115,CPU,3
117,143,IO,18
118,91,Mixed,11
119,197,CPU,15
120,124,IO,16
121,96,IO,16
122,162,CPU,7
123,126,IO,15
124,165,Mixed,15
125,194,IO,24
126,142,Mixed,15
127,187,IO,27
128,138,CPU,10
129,122,CPU,3
130,141,CPU,7
131,143,Mixed,11
132,168,CPU,9
133,70,IO,8
134,70,CPU,1
135,98,IO,13
136,57,IO,7
137,198,Mixed,18
138,196,Mixed,17
139,195,CPU,21
140,50,IO,13
141,73,IO,16
142,159,IO,21
143,99,IO,14
144,50,CPU,0
145,177,IO,26
146,187,CPU,13
147,175,Mixed,14
148,146,CPU,6
149,180,Mixed,12
150,182,Mixed,15
151,146,IO,18
152,200,Mixed,13
153,109,CPU,3
154,78,CPU,1
155,182,Mixed,19
156,62,IO,8
157,89,CPU,1
158,71,IO,10
159,130,Mixed,16
160,52,IO,9
161,174,CPU,21
162,103,CPU,2
163,113,CPU,3
164,81,Mixed,11
165,139,IO,20
166,137,IO,22
167,74,Mixed,11
168,110,IO,17
169,158,CPU,7
170,149,IO,24
171,160,Mixed,16
172,155,CPU,13
173,163,IO,29
174,127,CPU,8
175,104,IO,19
176,108,CPU,3
177,100,Mixed,7
178,108,CPU,2
179,160,CPU,9
180,77,IO,13
181,148,Mixed,14
182,131,IO,18
183,199,Mixed,21
184,162,CPU,16
185,168,CPU,17
186,172,Mixed,17
187,145,Mixed,14
188,100,IO,16
189,103,CPU,2
190,192,IO,23
191,140,CPU,8
192,153,CPU,9
193,78,Mixed,9
194,50,CPU,1
195,163,CPU,8
196,57,IO,7
197,103,CPU,3
198,93,CPU,2
199,69,IO,8
200,100,IO,13
201,191,IO,22
202,194,CPU,13
203,131,IO,15
204,138,CPU,5
205,176,IO,21
206,175,Mixed,16
207,93,IO,14
208,125,IO,19
209,81,CPU,1
210,83,CPU,2
211,117,Mixed,13
212,72,CPU,1
213,167,IO,23
214,146,Mixed,16
215,143,IO,17
216,134,Mixed,17
217,173,CPU,19
218,92,Mixed,15
219,120,IO,12
220,142,CPU,5
221,148,CPU,6
222,143,CPU,6
223,70,Mixed,7
224,55,IO,11
225,77,Mixed,8
226,99,IO,16
227,158,CPU,11
228,75,CPU,1
229,71,CPU,1
230,152,CPU,10
231,108,IO,14
232,162,Mixed,18
233,107,CPU,3
234,101,IO,23
235,77,CPU,1
236,117,CPU,3
237,77,IO,18
238,170,CPU,31
239,58,CPU,0
240,109,Mixed,15
241,195,CPU,16
242,79,Mixed,12
243,166,IO,34
244,112,CPU,2
245,150,CPU,6
246,166,IO,24
247,80,IO,16
248,169,CPU,11
249,189,IO,21
250,191,Mixed,15
251,58,Mixed,10
252,176,Mixed,10
253,61,IO,19
254,116,CPU,3
255,174,CPU,26
256,65,CPU,1
257,200,IO,17
258,57,CPU,1
259,182,IO,17
260,98,CPU,2
261,169,IO,17
262,162,Mixed,13
263,113,CPU,2
264,86,CPU,1
265,158,Mixed,12
266,108,IO,12
267,105,CPU,2
268,80,CPU,1
269,84,Mixed,9
270,151,Mixed,9
271,81,IO,8
272,69,Mixed,6
273,90,CPU,2
274,59,CPU,1
275,180,Mixed,11
276,150,IO,16
277,71,Mixed,9
278,195,IO,22
279,117,Mixed,10
280,114,CPU,3
281,142,IO,17
282,139,Mixed,14
283,125,Mixed,14
284,155,CPU,7
285,114,Mixed,13
286,71,Mixed,11
287,123,CPU,5
288,60,CPU,1
289,71,Mixed,11
290,117,IO,15
291,65,IO,10
292,66,CPU,1
293,87,CPU,1
294,62,IO,9
295,199,IO,17
296,189,Mixed,13
297,177,Mixed,12
298,51,IO,8
299,198,IO,17
