task_id,input_size,op_type
0,185,CPU
1,112,Mixed
2,81,CPU
3,139,CPU
4,124,Mixed
5,102,CPU
6,57,CPU
7,87,Mixed
8,168,Mixed
9,151,CPU
10,184,IO
11,65,Mixed
12,109,IO
13,81,IO
14,66,IO
15,68,Mixed
16,109,IO
17,160,CPU
18,130,Mixed
19,138,IO
20,150,Mixed
21,181,CPU
22,198,Mixed
23,140,IO
24,197,Mixed
25,174,Mixed
26,144,IO
27,151,Mixed
28,188,IO
29,144,CPU
30,65,Mixed
31,63,CPU
32,73,Mixed
33,140,CPU
34,106,IO
35,95,Mixed
36,104,CPU
37,57,CPU
38,62,IO
39,189,Mixed
40,100,Mixed
41,82,IO
42,129,IO
43,118,IO
44,160,IO
45,102,IO
46,88,Mixed
47,122,Mixed
48,114,IO
49,85,IO
50,164,IO
51,142,CPU
52,136,IO
53,86,CPU
54,127,IO
55,160,IO
56,103,Mixed
57,85,CPU
58,191,Mixed
59,105,IO
60,126,IO
61,185,CPU
62,52,CPU
63,118,IO
64,81,IO
65,143,IO
66,113,CPU
67,96,CPU
68,74,CPU
69,167,IO
70,108,Mixed
71,176,IO
72,53,CPU
73,67,IO
74,80,IO
75,126,IO
76,137,Mixed
77,183,CPU
78,99,IO
79,111,CPU
80,116,Mixed
81,134,Mixed
82,73,Mixed
83,99,IO
84,93,CPU
85,51,Mixed
86,130,Mixed
87,171,CPU
88,164,CPU
89,164,IO
90,105,CPU
91,143,Mixed
92,192,CPU
93,98,Mixed
94,93,CPU
95,148,CPU
96,55,Mixed
97,138,IO
98,81,IO
99,95,CPU
100,153,CPU
101,141,Mixed
102,193,IO
103,164,Mixed
104,184,CPU
105,144,IO
106,52,Mixed
107,101,Mixed
108,67,Mixed
109,76,Mixed
110,74,CPU
111,184,IO
112,167,CPU
113,91,CPU
114,61,Mixed
115,65,CPU
116,115,CPU
117,143,IO
118,91,Mixed
119,197,CPU
120,124,IO
121,96,IO
122,162,CPU
123,126,IO
124,165,Mixed
125,194,IO
126,142,Mixed
127,187,IO
128,138,CPU
129,122,CPU
130,141,CPU
131,143,Mixed
132,168,CPU
133,70,IO
134,70,CPU
135,98,IO
136,57,IO
137,198,Mixed
138,196,Mixed
139,195,CPU
140,50,IO
141,73,IO
142,159,IO
143,99,IO
144,50,CPU
145,177,IO
146,187,CPU
147,175,Mixed
148,146,CPU
149,180,Mixed
150,182,Mixed
151,146,IO
152,200,Mixed
153,109,CPU
154,78,CPU
155,182,Mixed
156,62,IO
157,89,CPU
158,71,IO
159,130,Mixed
160,52,IO
161,174,CPU
162,103,CPU
163,113,CPU
164,81,Mixed
165,139,IO
166,137,IO
167,74,Mixed
168,110,IO
169,158,CPU
170,149,IO
171,160,Mixed
172,155,CPU
173,163,IO
174,127,CPU
175,104,IO
176,108,CPU
177,100,Mixed
178,108,CPU
179,160,CPU
180,77,IO
181,148,Mixed
182,131,IO
183,199,Mixed
184,162,CPU
185,168,CPU
186,172,Mixed
187,145,Mixed
188,100,IO
189,103,CPU
190,192,IO
191,140,CPU
192,153,CPU
193,78,Mixed
194,50,CPU
195,163,CPU
196,57,IO
197,103,CPU
198,93,CPU
199,69,IO
200,100,IO
201,191,IO
202,194,CPU
203,131,IO
204,138,CPU
205,176,IO
206,175,Mixed
207,93,IO
208,125,IO
209,81,CPU
210,83,CPU
211,117,Mixed
212,72,CPU
213,167,IO
214,146,Mixed
215,143,IO
216,134,Mixed
217,173,CPU
218,92,Mixed
219,120,IO
220,142,CPU
221,148,CPU
222,143,CPU
223,70,Mixed
224,55,IO
225,77,Mixed
226,99,IO
227,158,CPU
228,75,CPU
229,71,CPU
230,152,CPU
231,108,IO
232,162,Mixed
233,107,CPU
234,101,IO
235,77,CPU
236,117,CPU
237,77,IO
238,170,CPU
239,58,CPU
240,109,Mixed
241,195,CPU
242,79,Mixed
243,166,IO
244,112,CPU
245,150,CPU
246,166,IO
247,80,IO
248,169,CPU
249,189,IO
250,191,Mixed
251,58,Mixed
252,176,Mixed
253,61,IO
254,116,CPU
255,174,CPU
256,65,CPU
257,200,IO
258,57,CPU
259,182,IO
260,98,CPU
261,169,IO
262,162,Mixed
263,113,CPU
264,86,CPU
265,158,Mixed
266,108,IO
267,105,CPU
268,80,CPU
269,84,Mixed
270,151,Mixed
271,81,IO
272,69,Mixed
273,90,CPU
274,59,CPU
275,180,Mixed
276,150,IO
277,71,Mixed
278,195,IO
279,117,Mixed
280,114,CPU
281,142,IO
282,139,Mixed
283,125,Mixed
284,155,CPU
285,114,Mixed
286,71,Mixed
287,123,CPU
288,60,CPU
289,71,Mixed
290,117,IO
291,65,IO
292,66,CPU
293,87,CPU
294,62,IO
295,199,IO
296,189,Mixed
297,177,Mixed
298,51,IO
299,198,IO
