task_id,input_size,op_type,predicted_runtime_ms
0,185,CPU,32.27042857142857
1,112,Mixed,201.14
2,81,CPU,17.583761904761904
3,139,CPU,32.87416666666667
4,124,Mixed,212.42399999999998
5,102,CPU,2.3136190476190475
6,57,CPU,12.919238095238093
7,87,Mixed,20.81
8,168,Mixed,237.22
9,151,CPU,8.2
10,184,IO,205.5
11,65,Mixed,169.52900000000002
12,109,IO,279.2929285714286
13,81,IO,96.80840476190477
14,66,IO,232.21966666666668
15,68,Mixed,176.34
16,109,IO,279.2929285714286
17,160,CPU,8.740000000000002
18,130,Mixed,95.2798095238095
19,138,IO,220.61
20,150,Mixed,186.458
21,181,CPU,28.147761904761907
22,198,Mixed,158.285873015873
23,140,IO,190.95899999999997
24,197,Mixed,73.42666666666668
25,174,Mixed,16.80533333333333
26,144,IO,42.37966666666667
27,151,Mixed,42.05
28,188,IO,32.405
29,144,CPU,6.16
30,65,Mixed,169.52900000000002
31,63,CPU,0.96
32,73,Mixed,15.030666666666667
33,140,CPU,18.03
34,106,IO,39.27833333333333
35,95,Mixed,24.93
36,104,CPU,2.7329404761904765
37,57,CPU,12.919238095238093
38,62,IO,19.871329004329006
39,189,Mixed,21.181833333333334
40,100,Mixed,16.882833333333334
41,82,IO,55.861785714285716
42,129,IO,58.064071428571424
43,118,IO,30.66
44,160,IO,29.37566666666667
45,102,IO,17.844166666666666
46,88,Mixed,26.23
47,122,Mixed,66.26
48,114,IO,54.7825
49,85,IO,27.809333333333335
50,164,IO,32.4
51,142,CPU,6.95
52,136,IO,41.701
53,86,CPU,2.0073333333333334
54,127,IO,23.3575
55,160,IO,29.37566666666667
56,103,Mixed,25.325
57,85,CPU,2.037333333333333
58,191,Mixed,26.07166666666667
59,105,IO,42.28833333333332
60,126,IO,26.5975
61,185,CPU,32.27042857142857
62,52,CPU,1.383333333333333
63,118,IO,30.66
64,81,IO,96.80840476190477
65,143,IO,36.51445238095238
66,113,CPU,3.04
67,96,CPU,2.3133333333333335
68,74,CPU,1.36
69,167,IO,26.288
70,108,Mixed,56.707
71,176,IO,26.03
72,53,CPU,1.6833333333333333
73,67,IO,144.87
74,80,IO,24.737095238095243
75,126,IO,26.5975
76,137,Mixed,48.60166666666666
77,183,CPU,28.147761904761907
78,99,IO,23.801761904761904
79,111,CPU,14.09
80,116,Mixed,26.15
81,134,Mixed,28.291214285714297
82,73,Mixed,15.030666666666667
